"","Age","Years.of.Experience","Number.of.Vehicles","Gender","Married","Losses.in.Thousands"
"5704",53,35,"2","F","Married",416.3579204
"10130",38,19,"3","M","Married",731.5071003
"1445",53,36,"1","M","Married",333.5916552
"5848",63,44,"2","F","Single",188.8993416
"12404",24,6,"3","M","Single",342.5168582
"12333",28,10,"3","F","Married",322.5253972
"12368",65,46,"3","M","Married",377.3416426
"12092",62,45,"3","M","Married",39.5477811
"6695",22,5,"2","M","Single",316.5447298
"11484",47,26,"3","M","Married",511.9737592
"9577",65,46,"3","F","Single",378.8241333
"10808",57,38,"3","F","Married",275.0114383
"10",16,0,"1","F","Single",242.7725761
"7233",55,34,"2","F","Married",263.0665303
"3350",62,45,"2","F","Single",362.1946304
"5779",32,11,"2","F","Married",390.0040602
"9323",22,4,"3","F","Married",415.0884452
"5352",60,43,"2","F","Single",118.4561493
"1691",23,4,"1","F","Married",375.2405979
"3706",37,19,"2","M","Married",259.357527
"10161",19,2,"3","F","Married",272.0471721
"6352",20,2,"2","M","Single",608.6501064
"11987",38,20,"3","F","Married",234.6940061
"1565",16,0,"1","F","Married",363.1691719
"6613",18,0,"2","M","Single",1027.582618
"14976",20,1,"4","F","Married",348.4810314
"13578",25,6,"4","M","Married",656.2419141
"13477",18,1,"4","F","Single",503.1516614
"2661",17,0,"2","F","Married",428.437278
"1987",21,4,"1","M","Single",2700
"9927",36,17,"3","F","Married",144.8309384
"5221",64,47,"2","M","Married",27.9400468
"9981",33,16,"3","F","Married",166.4127054
"4869",39,18,"2","F","Married",348.6496435
"2852",39,20,"2","F","Married",646.6507561
"11887",29,12,"3","M","Married",343.9541429
"1422",38,17,"1","F","Married",310.2184717
"7092",30,12,"2","M","Married",720.3111168
"7771",22,5,"3","F","Married",244.5733694
"9114",47,26,"3","F","Married",352.8150666
"5056",17,0,"2","F","Married",255.5687642
"7334",23,4,"2","M","Married",627.2246947
"13520",63,44,"4","F","Married",287.1088186
"13885",25,6,"4","F","Married",340.5355528
"9243",27,8,"3","F","Married",295.3055244
"922",68,49,"1","F","Single",313.0465443
"14384",37,20,"4","M","Single",519.2443029
"10936",44,27,"3","F","Married",343.1851723
"2160",64,47,"1","F","Married",248.2674932
"14477",33,14,"4","F","Married",373.8715169
"8883",23,4,"3","F","Single",484.7094429
"6137",65,46,"2","M","Married",28.27238083
"9829",26,9,"3","M","Married",164.6698998
"4852",35,18,"2","F","Married",290.8274344
"4668",55,34,"2","F","Single",382.7987489
"3334",16,0,"2","F","Single",272.757036
"5604",60,39,"2","M","Single",303.7258336
"14926",53,32,"4","M","Single",492.9224979
"2339",43,23,"1","M","Married",218.4008806
"1381",21,4,"1","M","Single",928.8911063
"2152",57,36,"1","M","Married",622.801627
"10462",27,9,"3","M","Married",395.030539
"9388",16,0,"3","M","Single",1174.253909
"13513",19,2,"4","F","Married",111.3219211
"10202",51,33,"3","F","Single",733.5515891
"11172",31,14,"3","F","Married",335.9916574
"7899",69,51,"3","M","Married",33.68713333
"10000",23,5,"3","F","Married",384.38384
"12454",70,51,"3","F","Single",87.09666633
"11915",40,19,"3","M","Single",333.2375338
"14847",46,27,"4","M","Married",254.7859673
"6658",59,38,"2","F","Single",398.7762381
"4723",17,0,"2","F","Married",432.9213332
"6204",27,8,"2","F","Single",268.3414507
"159",70,53,"1","F","Single",156.106545
"2785",60,40,"2","M","Single",57.02071414
"12764",47,26,"3","M","Married",344.9483448
"3501",55,36,"2","F","Single",420.8526954
"3621",38,18,"2","F","Single",476.5783822
"1162",27,6,"1","F","Single",392.2091444
"3721",68,51,"2","M","Single",423.8090522
"11086",47,26,"3","F","Single",690.0031162
"12831",18,0,"4","F","Single",393.821824
"7533",26,6,"2","M","Married",201.4621834
"5873",52,35,"2","F","Married",391.3500926
"3731",25,8,"2","M","Single",672.4941619
"1682",24,5,"1","F","Single",439.1176788
"5903",66,45,"2","F","Single",111.1771647
"8656",51,30,"3","M","Married",367.9464285
"3283",58,37,"2","F","Married",616.392507
"6731",24,5,"2","M","Single",741.5099286
"7600",23,6,"2","M","Single",747.6396837
"9833",20,1,"3","F","Single",821.5817084
"5669",37,16,"2","M","Single",342.75108
"5377",18,0,"2","M","Single",2852
"8073",49,28,"3","M","Single",177.9025636
"11197",20,3,"3","F","Single",686.5084197
"3344",34,15,"2","M","Single",501.3198275
"6242",53,35,"2","M","Married",414.2298226
"4018",28,7,"2","M","Married",420.0356419
"9526",26,8,"3","M","Single",921.0948551
"2780",54,35,"2","F","Single",349.9708937
"13057",18,1,"4","F","Married",410.1421679
"11286",35,17,"3","F","Married",296.9827634
"10102",34,14,"3","F","Married",308.0223421
"5627",35,15,"2","M","Married",683.9467174
"8008",18,0,"3","M","Married",354.9811613
"8791",68,50,"3","F","Single",118.8089687
"12689",26,5,"3","F","Married",546.3187204
"4721",21,2,"2","M","Married",115.6370943
"10701",69,51,"3","F","Single",372.3735452
"4004",18,0,"2","F","Single",756.4072524
"8979",43,25,"3","F","Single",618.2242062
"7270",35,17,"2","F","Married",352.9391772
"15107",65,45,"4","F","Married",33.04468917
"13791",47,27,"4","F","Single",512.7147153
"13620",67,50,"4","M","Single",68.15882577
"4140",20,1,"2","F","Married",243.6259786
"4855",65,47,"2","M","Single",327.3019603
"9361",16,0,"3","M","Single",589.7118387
"14150",33,15,"4","F","Single",440.0273323
"7043",70,53,"2","M","Married",63.50212418
"6141",24,7,"2","F","Single",487.0326234
"9950",52,32,"3","F","Single",278.0438613
"2300",66,46,"1","M","Single",477.3863378
"8646",25,7,"3","F","Married",108.7571924
"14522",70,49,"4","M","Married",188.3055871
"9074",25,8,"3","F","Married",428.7713277
"15191",55,38,"4","F","Married",291.5165346
"6074",19,0,"2","M","Single",1069.37391
"13279",69,51,"4","M","Married",354.0453347
"5492",70,49,"2","M","Single",174.5438715
"4348",59,38,"2","M","Married",224.6655498
"2574",20,1,"2","M","Married",452.1823501
"2597",34,15,"2","F","Single",351.7873354
"15105",29,12,"4","M","Married",339.6659879
"3815",68,48,"2","M","Single",218.2954901
"3261",65,46,"2","M","Single",762.1540821
"10168",19,2,"3","M","Single",732.5388838
"719",60,40,"1","F","Married",554.8941047
"10566",35,17,"3","M","Single",519.9221783
"5305",39,22,"2","F","Married",531.1566917
"6165",22,4,"2","M","Single",980.3384425
"12374",67,50,"3","M","Single",195.7851854
"13849",33,12,"4","F","Single",723.9313513
"4258",65,48,"2","F","Married",123.6650647
"14483",50,32,"4","M","Married",403.4675137
"10976",31,11,"3","M","Married",424.0797025
"10342",66,48,"3","F","Single",40.73239872
"797",55,38,"1","F","Married",111.8798755
"5954",30,13,"2","M","Married",320.6727996
"8440",63,44,"3","F","Single",131.3811093
"10518",24,5,"3","F","Married",143.0501778
"13792",60,43,"4","M","Single",97.80988885
"9313",56,37,"3","F","Married",658.0898718
"6452",46,28,"2","F","Married",312.0185174
"8163",62,43,"3","F","Married",221.3121444
"881",26,6,"1","M","Single",491.4299422
"3928",17,0,"2","M","Married",839.0500314
"5980",24,6,"2","M","Single",473.0396868
"2977",68,48,"2","M","Married",201.3112188
"12524",48,27,"3","M","Single",432.352609
"2302",19,2,"1","F","Single",559.1728954
"12093",19,1,"3","F","Single",258.6034522
"8230",40,22,"3","M","Married",326.8109742
"9968",49,31,"3","F","Single",393.3566814
"2584",34,15,"2","F","Married",332.3397089
"15120",23,5,"4","M","Single",282.3222806
"4693",21,2,"2","F","Married",287.8762396
"10901",50,30,"3","F","Single",327.0172654
"6002",24,5,"2","M","Married",634.5101073
"14583",17,0,"4","F","Married",165.3738542
"10931",40,20,"3","F","Single",448.6032097
"3869",18,0,"2","F","Married",313.1189401
"3336",68,48,"2","F","Single",95.47112785
"8919",50,31,"3","M","Married",135.1341608
"4023",67,50,"2","F","Single",214.5655106
"7986",69,51,"3","F","Single",182.1959742
"11807",64,44,"3","M","Married",125.2914201
"2527",16,0,"1","F","Single",590.7871142
"6080",52,34,"2","M","Married",427.1674938
"7089",45,26,"2","M","Single",678.1316539
"13049",24,7,"4","M","Single",620.0075791
"13914",34,13,"4","F","Single",474.2729374
"13256",64,46,"4","F","Married",455.6194336
"10132",32,12,"3","F","Single",408.663755
"14279",60,39,"4","M","Married",346.9386523
"7761",60,40,"3","F","Single",51.84614092
"8663",63,42,"3","M","Married",177.7387364
"5054",65,46,"2","F","Married",160.5910585
"5218",49,29,"2","M","Married",377.9771534
"301",37,17,"1","M","Married",341.0717472
"13084",39,21,"4","F","Married",314.889906
"95",35,16,"1","F","Single",394.9982853
"1083",39,18,"1","M","Married",600.7874896
"2466",60,43,"1","M","Married",63.83158513
"11568",51,33,"3","F","Single",586.5051397
"11039",19,1,"3","F","Married",284.0776759
"14592",64,45,"4","F","Married",18.10363382
"7004",62,44,"2","M","Single",143.5748367
"1117",56,38,"1","F","Married",322.4044828
"9740",21,4,"3","M","Married",329.6421981
"11387",26,8,"3","M","Single",388.9023917
"5952",16,0,"2","F","Single",561.0042148
"3377",42,21,"2","F","Single",366.9309369
"870",22,5,"1","M","Single",800.9309908
"975",53,36,"1","F","Single",374.7773463
"4467",61,44,"2","F","Married",123.1137754
"1511",69,49,"1","M","Married",281.6230067
"1079",47,26,"1","F","Married",321.5142862
"13204",55,36,"4","M","Single",411.7339244
"11311",23,4,"3","F","Married",168.507276
"12246",37,18,"3","M","Married",499.8944309
"14727",69,51,"4","M","Married",268.6879041
"1554",54,33,"1","M","Single",456.6285444
"1485",55,36,"1","M","Single",264.6489308
"11976",16,0,"3","M","Single",392.2991853
"11761",40,23,"3","F","Married",585.0351549
"142",24,5,"1","F","Single",768.3369443
"11677",17,0,"3","F","Single",323.0925407
"10932",47,27,"3","M","Married",166.3781897
"9444",42,24,"3","F","Married",265.0117856
"7207",21,3,"2","F","Single",627.3027977
"2348",63,45,"1","M","Married",194.3165171
"124",20,3,"1","M","Married",681.5827516
"6779",65,44,"2","F","Married",549.8650833
"7376",36,16,"2","M","Single",663.29509
"5837",30,11,"2","M","Single",333.0913628
"6961",20,1,"2","M","Married",543.9432608
"10684",44,23,"3","F","Single",338.3345866
"829",37,17,"1","F","Married",518.1264247
"5314",60,40,"2","M","Married",48.97986108
"12023",23,5,"3","F","Married",432.8053738
"12514",17,0,"3","M","Single",852.6772216
"3560",36,19,"2","F","Single",352.7988494
"5300",41,21,"2","M","Married",190.0323311
"12829",64,45,"4","M","Single",128.9756382
"12781",29,10,"4","M","Single",407.4383768
"4430",61,43,"2","F","Married",109.5964897
"2202",40,19,"1","M","Married",570.7365692
"10537",58,37,"3","F","Married",327.6239282
"14993",35,15,"4","M","Single",409.3317426
"505",66,45,"1","M","Married",36.63901131
"14956",17,0,"4","M","Married",511.5249382
"522",43,25,"1","M","Married",398.6963317
"5064",31,13,"2","F","Single",175.4208202
"13691",68,47,"4","F","Married",217.7755553
"9234",69,52,"3","M","Single",60.43479361
"4283",42,25,"2","F","Married",637.8821118
"11036",63,45,"3","M","Married",452.2534672
"12475",21,2,"3","F","Married",319.2840867
"4701",58,39,"2","F","Single",428.8592904
"7367",25,7,"2","M","Married",457.672818
"10429",20,3,"3","F","Married",603.0666933
"9592",17,0,"3","M","Single",1084.582349
"9628",63,43,"3","M","Single",61.95281383
"14620",64,47,"4","F","Married",141.4576799
"6201",47,28,"2","F","Married",523.3737571
"1785",67,46,"1","F","Single",98.54406755
"7864",50,31,"3","F","Married",352.6876976
"3365",29,11,"2","F","Married",369.3109119
"15080",66,48,"4","F","Married",192.8927852
"5533",62,45,"2","F","Single",380.4116361
"15260",69,49,"4","M","Married",223.5485958
"5803",19,2,"2","F","Married",174.9719929
"3426",35,15,"2","F","Single",393.6657261
"15060",60,40,"4","F","Married",299.0533046
"2040",50,30,"1","M","Single",353.4644169
"14454",69,49,"4","F","Single",53.80049352
"7695",50,30,"3","M","Single",290.9001871
"2436",53,36,"1","M","Married",139.7488865
"9289",17,0,"3","M","Married",478.2292338
"14726",35,15,"4","F","Married",275.9957072
"9988",25,6,"3","M","Married",415.8853382
"6256",23,6,"2","M","Single",1077.884502
"4829",38,17,"2","M","Single",784.4685291
"12472",25,8,"3","M","Single",1027.244394
"2148",25,8,"1","F","Single",436.0393992
"2879",23,5,"2","M","Married",384.7692913
"13387",65,45,"4","M","Single",44.61956432
"4600",32,13,"2","F","Married",602.9203731
"5423",16,0,"2","F","Married",243.3503986
"11701",43,25,"3","F","Single",381.9142724
"2886",25,7,"2","F","Single",197.3667253
"266",34,16,"1","F","Single",458.5579608
"6068",23,6,"2","F","Single",470.0655917
"7210",65,47,"2","M","Married",124.9805569
"6294",69,48,"2","M","Married",317.3049656
"5115",23,5,"2","M","Single",676.0622962
"12927",28,10,"4","M","Married",350.1622449
"6789",37,18,"2","M","Single",489.9230992
"7962",66,48,"3","F","Married",194.4116368
"11553",61,43,"3","M","Married",35.84183739
"3115",19,2,"2","M","Married",383.7567704
"4605",67,46,"2","M","Married",338.9769113
"14484",64,47,"4","F","Married",204.1908375
"8721",25,8,"3","F","Married",183.3627786
"11344",63,45,"3","F","Single",133.2352704
"5557",19,0,"2","F","Married",256.1425496
"11467",70,50,"3","M","Married",225.0972474
"8015",66,48,"3","F","Married",151.6493063
"13624",25,7,"4","F","Married",393.3757944
"2762",64,44,"2","M","Single",559.5341787
"4206",68,49,"2","F","Single",96.42275023
"1416",62,45,"1","M","Single",39.37000756
"3137",24,5,"2","F","Married",244.8453631
"14559",70,52,"4","F","Married",218.1447717
"4415",16,0,"2","F","Single",639.3834022
"15265",69,50,"4","M","Married",466.3893452
"11705",16,0,"3","F","Single",204.2349164
"1571",23,5,"1","M","Married",473.6257225
"3569",67,50,"2","M","Single",446.4710429
"4030",21,2,"2","F","Single",614.7846154
"1506",70,49,"1","F","Married",40.08895078
"1756",17,0,"1","M","Married",275.7037214
"14761",24,6,"4","F","Married",140.4341427
"14683",20,3,"4","M","Single",839.3059837
"2041",21,4,"1","F","Married",117.0669225
"13479",69,50,"4","F","Single",151.9653298
"8580",65,46,"3","F","Married",247.0818669
"5887",28,8,"2","M","Married",299.3629426
"10516",65,47,"3","F","Married",116.146832
"1228",67,46,"1","F","Single",423.8349611
"5050",33,13,"2","M","Single",464.5138413
"10131",24,6,"3","M","Married",520.4128953
"4717",61,41,"2","M","Single",184.1277861
"12373",41,20,"3","M","Married",257.7639364
"3202",44,24,"2","M","Single",410.6672768
"7408",36,17,"2","M","Married",378.7564551
"4107",26,6,"2","F","Single",485.3858243
"2857",68,49,"2","M","Married",113.8333117
"14140",39,21,"4","M","Single",419.6725481
"4786",36,19,"2","F","Single",422.9126911
"7116",58,37,"2","F","Single",406.7311102
"8141",61,43,"3","F","Married",383.3588336
"9580",55,36,"3","M","Single",458.7115177
"8866",69,49,"3","M","Married",333.1220539
"4787",21,2,"2","M","Married",484.4608066
"13248",16,0,"4","M","Single",961.688498
"9310",31,11,"3","M","Single",433.6557018
"4503",22,5,"2","F","Married",278.5209343
"5770",52,34,"2","M","Married",201.989253
"2385",40,23,"1","M","Single",651.4634054
"12819",70,50,"4","M","Single",535.0623087
"14164",24,5,"4","F","Married",260.6415955
"8376",19,2,"3","F","Married",395.4681364
"4897",55,37,"2","F","Single",414.9357568
"14807",24,7,"4","F","Single",448.5008404
"3489",30,11,"2","M","Single",460.7589211
"9102",39,18,"3","M","Single",655.9321551
"1607",45,25,"1","M","Single",732.981314
"7234",28,11,"2","F","Single",358.2237357
"1477",68,47,"1","F","Single",228.2723787
"2394",53,36,"1","F","Single",636.6652396
"4203",67,48,"2","F","Single",581.4427893
"8670",32,11,"3","M","Single",437.5326073
"10865",46,25,"3","M","Married",142.5220495
"2458",41,22,"1","F","Single",430.5555209
"12864",48,30,"4","F","Married",324.0938241
"10519",67,50,"3","M","Single",79.30068479
"2184",65,46,"1","F","Single",561.2968092
"5315",61,43,"2","M","Single",376.9877925
"9993",70,51,"3","F","Single",25.91082086
"7774",18,0,"3","F","Married",185.8723642
"5191",64,45,"2","M","Single",225.0781285
"14895",67,46,"4","M","Single",453.0719535
"864",57,36,"1","F","Married",444.5948574
"3511",21,4,"2","M","Married",278.7830603
"13205",61,43,"4","M","Married",269.0218439
"12043",63,43,"3","F","Single",92.98932417
"11088",66,46,"3","F","Single",402.7977956
"2298",26,7,"1","M","Married",331.7301861
"1851",42,24,"1","F","Married",333.2618886
"14456",70,52,"4","F","Married",295.6484789
"6468",67,48,"2","F","Married",220.5360282
"6881",45,27,"2","F","Married",341.9799628
"2451",59,40,"1","F","Married",310.9230046
"8673",19,0,"3","M","Married",642.1196909
"4015",22,3,"2","M","Married",294.7767246
"3411",50,32,"2","F","Married",137.1415013
"10246",43,22,"3","F","Married",505.324672
"4193",18,0,"2","F","Married",143.8874645
"12011",60,39,"3","M","Single",102.3460608
"1392",21,4,"1","M","Married",584.209495
"12182",46,29,"3","F","Single",361.0768625
"6334",35,17,"2","M","Married",386.3073455
"9814",51,30,"3","F","Single",320.1286042
"6586",38,21,"2","F","Single",406.4648363
"9291",20,1,"3","F","Single",588.5465292
"7",36,19,"1","F","Single",462.1588562
"3218",54,34,"2","M","Married",708.6359446
"10440",59,40,"3","M","Single",389.2357428
"12054",70,50,"3","F","Single",62.40754107
"4558",60,40,"2","F","Single",320.4630531
"10184",37,16,"3","M","Single",468.9861935
"13810",25,7,"4","M","Single",871.3147058
"1715",60,39,"1","F","Single",351.3205902
"1891",28,8,"1","M","Single",532.6531171
"10040",41,23,"3","F","Married",254.212927
"6350",19,1,"2","M","Married",286.0007918
"14378",64,44,"4","F","Single",239.1381641
"1044",64,45,"1","M","Married",184.7351579
"6804",62,43,"2","M","Married",116.4320793
"10382",61,44,"3","F","Married",229.2590542
"1287",17,0,"1","F","Married",408.2572079
"14691",61,44,"4","M","Married",264.600332
"3745",21,4,"2","M","Single",390.7943819
"733",66,45,"1","M","Married",49.35555095
"10153",44,23,"3","M","Single",441.8691366
"11640",22,3,"3","M","Single",527.0086334
"5230",61,41,"2","F","Married",156.5355798
"5420",68,50,"2","M","Single",83.85243398
"4246",25,6,"2","M","Single",509.6212314
"1183",70,50,"1","M","Single",256.4290973
"5404",59,40,"2","F","Single",185.4654981
"2632",25,6,"2","M","Single",847.9486516
"7926",66,47,"3","F","Married",305.8034818
"7450",59,41,"2","F","Married",321.3799122
"13970",53,33,"4","F","Single",397.806322
"5046",25,8,"2","F","Married",326.2332323
"6869",27,8,"2","F","Single",461.2807466
"1220",22,4,"1","F","Married",489.859737
"12711",37,17,"3","M","Single",439.3880266
"5847",21,2,"2","F","Married",370.2364866
"10874",19,0,"3","M","Married",361.9234501
"2538",22,3,"2","F","Married",362.2390293
"6719",24,5,"2","M","Single",868.1959057
"11379",59,41,"3","F","Married",344.1885488
"12040",43,24,"3","F","Married",207.5409761
"4448",31,10,"2","F","Single",137.3592826
"5386",19,1,"2","F","Single",674.6170251
"4610",69,52,"2","M","Married",117.261906
"552",26,6,"1","F","Married",338.521163
"7661",52,35,"2","M","Single",171.6202607
"10026",25,6,"3","M","Married",692.7167535
"13336",24,7,"4","M","Married",463.4450523
"377",17,0,"1","M","Single",852.9917769
"14601",46,26,"4","M","Single",505.1093518
"4471",47,26,"2","M","Married",357.0108591
"13862",25,7,"4","M","Single",1368.54557
"6598",55,36,"2","F","Single",523.9525796
"12049",19,2,"3","M","Single",783.3686177
"583",38,17,"1","F","Single",544.5163493
"10905",44,27,"3","M","Married",447.8064522
"7901",39,22,"3","M","Single",439.1429781
"4050",20,1,"2","M","Married",278.9382034
"11814",62,43,"3","M","Single",278.1608605
"1352",42,24,"1","F","Married",339.3914837
"12272",62,44,"3","M","Single",123.6078003
"4083",62,42,"2","M","Single",55.15740612
"11106",21,4,"3","M","Married",801.4144112
"14217",66,45,"4","M","Single",59.74835755
"1202",61,43,"1","M","Single",261.6904151
"12596",39,18,"3","M","Single",416.2677296
"11827",70,49,"3","F","Married",263.1277167
"5678",66,46,"2","F","Married",28.05839824
"14932",65,45,"4","F","Married",13.29062799
"3021",21,4,"2","M","Single",518.7770254
"8392",67,46,"3","M","Single",823.0331624
"13088",42,21,"4","F","Married",558.195991
"7806",23,5,"3","M","Married",410.7954896
"9809",19,2,"3","F","Single",593.7213625
"7807",28,7,"3","F","Married",317.9877778
"7512",23,6,"2","F","Married",310.2142008
"239",53,33,"1","F","Married",300.7818655
"13689",70,52,"4","F","Married",243.6051987
"11331",64,45,"3","F","Single",133.7874856
"2962",70,50,"2","F","Single",157.7522036
"9576",68,47,"3","F","Married",190.8082711
"9627",18,0,"3","M","Single",736.4336297
"5820",32,15,"2","F","Married",306.3533269
"11960",28,9,"3","M","Married",174.6051107
"8054",66,48,"3","F","Single",196.504217
"13031",21,3,"4","M","Single",1731.433041
"8145",25,7,"3","F","Single",413.2305429
"13337",61,44,"4","M","Married",369.7100602
"8647",23,6,"3","M","Single",470.6802469
"6233",18,0,"2","F","Single",331.890297
"13975",20,1,"4","M","Married",524.7778553
"10434",19,2,"3","F","Married",218.7236106
"6082",62,41,"2","F","Married",256.4519265
"271",51,34,"1","F","Married",308.8097112
"8338",20,2,"3","F","Married",390.052406
"14921",29,12,"4","M","Single",307.6140337
"12926",68,48,"4","M","Married",100.228615
"11957",59,41,"3","M","Married",339.9364265
"12563",54,35,"3","M","Married",557.0193211
"5411",68,49,"2","F","Married",86.71810146
"12853",45,24,"4","F","Single",685.4408486
"2226",19,1,"1","M","Married",254.0805596
"4144",70,52,"2","M","Married",180.7449177
"9803",38,18,"3","M","Single",278.028599
"14370",61,42,"4","F","Single",346.1730892
"8567",16,0,"3","M","Married",188.002546
"7741",23,4,"3","M","Single",1435.870915
"894",69,48,"1","F","Single",30.84570505
"14243",32,11,"4","F","Married",223.1211246
"1768",67,46,"1","M","Married",75.84119327
"1299",40,22,"1","M","Married",337.6245613
"12943",49,29,"4","F","Married",399.1267942
"7470",16,0,"2","F","Married",249.4198391
"4959",64,46,"2","F","Single",133.7223801
"13140",65,48,"4","M","Single",137.106691
"470",29,9,"1","F","Married",218.9770126
"3485",65,46,"2","F","Married",218.0438855
"10084",28,8,"3","M","Married",252.0558287
"3317",68,47,"2","F","Single",24.4505445
"4678",69,49,"2","F","Single",417.6620295
"2556",20,1,"2","F","Single",731.4175567
"2149",17,0,"1","M","Married",521.923239
"12080",31,12,"3","M","Single",687.4971991
"4860",35,18,"2","M","Married",313.9556337
"5494",67,47,"2","F","Married",303.2492958
"9245",64,45,"3","F","Single",220.0928308
"1419",70,53,"1","F","Married",180.3930764
"323",29,9,"1","F","Married",289.6606846
"14575",41,24,"4","M","Married",243.2859125
"8570",70,53,"3","F","Single",235.0819294
"11474",23,6,"3","M","Single",278.4217692
"14737",63,43,"4","M","Married",273.4975821
"11077",47,29,"3","F","Married",303.4466458
"14367",19,0,"4","M","Single",1710.178261
"648",34,15,"1","M","Single",735.1929055
"13253",32,11,"4","F","Married",397.3229693
"12697",31,12,"3","M","Single",458.4249573
"11374",37,17,"3","F","Single",339.6570056
"5527",66,49,"2","M","Married",291.4064942
"618",20,2,"1","F","Single",243.9793541
"14825",32,13,"4","F","Married",287.4991457
"12471",35,16,"3","F","Married",292.0457519
"15204",54,34,"4","M","Single",221.9293161
"4464",57,37,"2","M","Single",152.0623207
"11129",23,5,"3","M","Single",831.7622185
"12385",66,46,"3","F","Single",188.2023997
"6713",62,41,"2","M","Single",274.8170949
"10695",63,43,"3","F","Married",66.48518655
"1526",16,0,"1","F","Single",296.1514067
"3224",70,52,"2","M","Married",154.1280993
"13980",41,20,"4","F","Single",279.5460828
"11020",23,5,"3","M","Married",251.0801107
"12000",39,20,"3","F","Married",614.0226004
"6121",21,2,"2","F","Single",805.8564752
"8700",56,36,"3","F","Single",672.7048885
"11702",67,48,"3","M","Married",323.9677269
"13014",18,0,"4","M","Married",298.1731808
"5642",56,37,"2","M","Married",180.2726827
"1323",53,32,"1","F","Single",369.3748417
"9165",47,29,"3","M","Single",314.8957605
"10920",54,34,"3","F","Married",362.0445498
"1251",17,0,"1","F","Married",282.2230386
"4401",17,0,"2","F","Married",132.3798915
"8998",68,50,"3","M","Single",331.0060826
"11023",54,37,"3","M","Married",301.9860187
"13425",17,0,"4","M","Single",1260.120154
"6965",22,3,"2","F","Married",330.295575
"8301",19,1,"3","M","Single",302.6470886
"10782",63,45,"3","F","Married",118.8829905
"13305",67,47,"4","F","Single",226.5989951
"7359",18,0,"2","F","Married",331.3291491
"5129",28,7,"2","F","Married",315.1065652
"12371",59,41,"3","F","Single",391.5025839
"1717",17,0,"1","M","Single",961.7886561
"10425",25,6,"3","M","Married",396.1469344
"3442",69,48,"2","F","Married",153.1905641
"1097",28,10,"1","F","Married",179.0536986
"13683",47,26,"4","F","Single",177.900394
"2299",53,32,"1","F","Single",875.5579818
"9462",43,26,"3","F","Married",446.2320038
"14775",25,8,"4","M","Single",446.4383494
"294",61,44,"1","M","Single",330.1496076
"7622",50,31,"2","F","Married",226.4231869
"1262",63,44,"1","F","Married",229.5443975
"4137",19,2,"2","F","Single",465.2822433
"6146",70,53,"2","F","Married",70.90479127
"8584",42,25,"3","M","Single",166.9423064
"11790",57,36,"3","F","Married",538.0067996
"2952",43,23,"2","F","Single",350.5014551
"6714",44,23,"2","M","Married",627.6014932
"6548",58,38,"2","M","Single",394.0867239
"10721",24,6,"3","F","Married",142.8980831
"10442",24,7,"3","F","Married",375.3185546
"12143",52,31,"3","F","Married",599.9480653
"12951",70,51,"4","M","Married",127.4992474
"13915",19,0,"4","F","Married",233.4680003
